HGNC ID	Approved symbol	Approved name	Ensembl ID(supplied by Ensembl)
HGNC:16970	FRS3	fibroblast growth factor receptor substrate 3	ENSG00000137218
HGNC:3956	FRV1	full length retroviral sequence 1 (band F6, 14.5kb)	
HGNC:3957	FRV2	full length retroviral sequence 2 (band F9, 11.2kb)	
HGNC:3958	FRV3	full length retroviral sequence 3 (band F21, 3.5kb)	
HGNC:20367	FRY	FRY microtubule binding protein	ENSG00000073910
HGNC:39725	FRY-AS1	FRY antisense RNA 1	ENSG00000237637
HGNC:29127	FRYL	FRY like transcription coactivator	ENSG00000075539
HGNC:3959	FRZB	frizzled related protein	ENSG00000162998
HGNC:43653	FSBP	fibrinogen silencer binding protein	ENSG00000265817
HGNC:20494	FSCB	fibrous sheath CABYR binding protein	ENSG00000189139
HGNC:11148	FSCN1	fascin actin-bundling protein 1	ENSG00000075618
HGNC:49669	FSCN1P1	fascin actin-bundling protein 1 pseudogene 1	ENSG00000261559
HGNC:3960	FSCN2	fascin actin-bundling protein 2, retinal	ENSG00000186765
HGNC:3961	FSCN3	fascin actin-bundling protein 3	ENSG00000106328
HGNC:13745	FSD1	fibronectin type III and SPRY domain containing 1	ENSG00000105255
HGNC:23331	FSD1CL	symbol withdrawn, see [HGNC:13753](/data/gene-symbol-report/#!/hgnc_id/HGNC:13753)	
HGNC:13753	FSD1L	fibronectin type III and SPRY domain containing 1 like	ENSG00000106701
HGNC:18024	FSD2	fibronectin type III and SPRY domain containing 2	ENSG00000186628
HGNC:3962	FSGS1	symbol withdrawn, see [HGNC:166](/data/gene-symbol-report/#!/hgnc_id/HGNC:166)	
HGNC:3963	FSGS2	symbol withdrawn, see [HGNC:12338](/data/gene-symbol-report/#!/hgnc_id/HGNC:12338)	
HGNC:3964	FSHB	follicle stimulating hormone subunit beta	ENSG00000131808
HGNC:3965	FSHD	symbol withdrawn, see [HGNC:3966](/data/gene-symbol-report/#!/hgnc_id/HGNC:3966)	
HGNC:3966	FSHMD1A	facioscapulohumeral muscular dystrophy 1A	
HGNC:3967	FSHMD1B	facioscapulohumeral muscular dystrophy 1B	
HGNC:3969	FSHR	follicle stimulating hormone receptor	ENSG00000170820
HGNC:21674	FSIP1	fibrous sheath interacting protein 1	ENSG00000150667
HGNC:21675	FSIP2	fibrous sheath interacting protein 2	ENSG00000188738
HGNC:40978	FSIP2-AS1	FSIP2 antisense RNA 1	ENSG00000231646
HGNC:54061	FSIP2-AS2	FSIP2 antisense RNA 2	ENSG00000226747
HGNC:55625	FSIP2LP	fibrous sheath interacting protein 2 like, pseudogene	
HGNC:3970	FSP	symbol withdrawn, see [HGNC:4602](/data/gene-symbol-report/#!/hgnc_id/HGNC:4602)	
HGNC:3971	FST	follistatin	ENSG00000134363
HGNC:3972	FSTL1	follistatin like 1	ENSG00000163430
HGNC:3973	FSTL3	follistatin like 3	ENSG00000070404
HGNC:21389	FSTL4	follistatin like 4	ENSG00000053108
HGNC:21386	FSTL5	follistatin like 5	ENSG00000168843
HGNC:3974	FTCD	formimidoyltransferase cyclodeaminase	ENSG00000160282
HGNC:40243	FTCD-AS1	FTCD antisense RNA 1	ENSG00000237338
HGNC:48661	FTCDNL1	formiminotransferase cyclodeaminase N-terminal like	ENSG00000226124
HGNC:3975	FTF	symbol withdrawn, see [HGNC:7984](/data/gene-symbol-report/#!/hgnc_id/HGNC:7984)	
HGNC:3976	FTH1	ferritin heavy chain 1	ENSG00000167996
HGNC:3979	FTH1P1	ferritin heavy chain 1 pseudogene 1	ENSG00000232273
HGNC:3989	FTH1P2	ferritin heavy chain 1 pseudogene 2	ENSG00000234975
HGNC:3990	FTH1P3	ferritin heavy chain 1 pseudogene 3	ENSG00000213453
HGNC:3991	FTH1P4	ferritin heavy chain 1 pseudogene 4	ENSG00000242992
HGNC:3996	FTH1P5	ferritin heavy chain 1 pseudogene 5	ENSG00000230204
HGNC:39088	FTH1P6	ferritin heavy chain 1 pseudogene 6	ENSG00000233083
HGNC:3994	FTH1P7	ferritin heavy chain 1 pseudogene 7	ENSG00000232187
HGNC:3995	FTH1P8	ferritin heavy chain 1 pseudogene 8	ENSG00000219507
HGNC:39089	FTH1P9	ferritin heavy chain 1 pseudogene 9	ENSG00000251395
HGNC:3980	FTH1P10	ferritin heavy chain 1 pseudogene 10	ENSG00000223361
HGNC:3981	FTH1P11	ferritin heavy chain 1 pseudogene 11	ENSG00000237264
HGNC:3982	FTH1P12	ferritin heavy chain 1 pseudogene 12	ENSG00000213362
HGNC:3983	FTH1P13	ferritin heavy chain 1 pseudogene 13	ENSG00000258960
HGNC:39090	FTH1P14	ferritin heavy chain 1 pseudogene 14	ENSG00000185638
HGNC:3985	FTH1P15	ferritin heavy chain 1 pseudogene 15	ENSG00000218980
HGNC:3986	FTH1P16	ferritin heavy chain 1 pseudogene 16	ENSG00000227376
HGNC:33525	FTH1P19	ferritin heavy chain 1 pseudogene 19	ENSG00000219186
HGNC:37639	FTH1P20	ferritin heavy chain 1 pseudogene 20	ENSG00000226564
HGNC:3997	FTH1P21	ferritin heavy chain 1 pseudogene 21	ENSG00000249013
HGNC:37640	FTH1P22	ferritin heavy chain 1 pseudogene 22	ENSG00000225079
HGNC:37641	FTH1P23	ferritin heavy chain 1 pseudogene 23	ENSG00000242960
HGNC:37642	FTH1P24	ferritin heavy chain 1 pseudogene 24	ENSG00000249302
HGNC:37643	FTH1P25	ferritin heavy chain 1 pseudogene 25	ENSG00000232792
HGNC:37644	FTH1P26	ferritin heavy chain 1 pseudogene 26	ENSG00000218213
HGNC:39091	FTH1P27	ferritin heavy chain 1 pseudogene 27	ENSG00000234355
HGNC:3977	FTH2	symbol withdrawn, see [HGNC:3986](/data/gene-symbol-report/#!/hgnc_id/HGNC:3986)	
HGNC:3993	FTHL6	symbol withdrawn, see [HGNC:3976](/data/gene-symbol-report/#!/hgnc_id/HGNC:3976)	
HGNC:3984	FTHL14	ferritin, heavy polypeptide-like 14	
HGNC:3987	FTHL17	ferritin heavy chain like 17	ENSG00000132446
HGNC:3988	FTHL18P	ferritin heavy chain like 18, pseudogene	ENSG00000243048
HGNC:3998	FTHP3	symbol withdrawn, see [HGNC:3983](/data/gene-symbol-report/#!/hgnc_id/HGNC:3983)	
HGNC:3999	FTL	ferritin light chain	ENSG00000087086
HGNC:16547	FTLP1	ferritin light chain pseudogene 1	ENSG00000235525
HGNC:4001	FTLP2	ferritin light chain pseudogene 2	ENSG00000232368
HGNC:4000	FTLP3	ferritin light chain pseudogene 3	ENSG00000226608
HGNC:37952	FTLP4	ferritin light chain pseudogene 4	ENSG00000214020
HGNC:37953	FTLP5	ferritin light chain pseudogene 5	ENSG00000266989
HGNC:37954	FTLP6	ferritin light chain pseudogene 6	ENSG00000254984
HGNC:37955	FTLP7	ferritin light chain pseudogene 7	
HGNC:37956	FTLP8	ferritin light chain pseudogene 8	ENSG00000232217
HGNC:37958	FTLP9	ferritin light chain pseudogene 9	
HGNC:37959	FTLP10	ferritin light chain pseudogene 10	ENSG00000250426
HGNC:37960	FTLP11	ferritin light chain pseudogene 11	
HGNC:37961	FTLP12	ferritin light chain pseudogene 12	ENSG00000265095
HGNC:37963	FTLP13	ferritin light chain pseudogene 13	ENSG00000263725
HGNC:37964	FTLP14	ferritin light chain pseudogene 14	ENSG00000260459
HGNC:37965	FTLP15	ferritin light chain pseudogene 15	ENSG00000233952
HGNC:37966	FTLP16	ferritin light chain pseudogene 16	ENSG00000229735
HGNC:37967	FTLP17	ferritin light chain pseudogene 17	ENSG00000228347
HGNC:37968	FTLP18	ferritin light chain pseudogene 18	ENSG00000230214
HGNC:37969	FTLP19	ferritin light chain pseudogene 19	ENSG00000237913
HGNC:17345	FTMT	ferritin mitochondrial	ENSG00000181867
HGNC:4002	FTNB	symbol withdrawn, see [HGNC:198](/data/gene-symbol-report/#!/hgnc_id/HGNC:198)	
HGNC:24678	FTO	FTO alpha-ketoglutarate dependent dioxygenase	ENSG00000140718
HGNC:43758	FTO-IT1	FTO intronic transcript 1	
HGNC:43759	FTOP1	FTO pseudogene 1	ENSG00000226491
HGNC:13254	FTSJ1	FtsJ RNA 2'-O-methyltransferase 1	ENSG00000068438
HGNC:17136	FTSJ3	FtsJ RNA 2'-O-methyltransferase 3	ENSG00000108592
HGNC:37190	FTX	FTX transcript, XIST regulator	ENSG00000230590
HGNC:4003	FTZF1	symbol withdrawn, see [HGNC:7983](/data/gene-symbol-report/#!/hgnc_id/HGNC:7983)	
HGNC:4004	FUBP1	far upstream element binding protein 1	ENSG00000162613
HGNC:4005	FUBP3	far upstream element binding protein 3	ENSG00000107164
HGNC:4006	FUCA1	alpha-L-fucosidase 1	ENSG00000179163
HGNC:4007	FUCA1P1	alpha-L-fucosidase 1 pseudogene 1	ENSG00000237053
HGNC:4008	FUCA2	alpha-L-fucosidase 2	ENSG00000001036
HGNC:28746	FUNDC1	FUN14 domain containing 1	ENSG00000069509
HGNC:24925	FUNDC2	FUN14 domain containing 2	ENSG00000165775
HGNC:17253	FUNDC2P1	FUN14 domain containing 2 pseudogene 1	ENSG00000255883
HGNC:17247	FUNDC2P2	FUN14 domain containing 2 pseudogene 2	ENSG00000182814
HGNC:37970	FUNDC2P3	FUN14 domain containing 2 pseudogene 3	ENSG00000187103
HGNC:37971	FUNDC2P4	FUN14 domain containing 2 pseudogene 4	ENSG00000227009
HGNC:24733	FUOM	fucose mutarotase	ENSG00000148803
HGNC:4009	FUR	symbol withdrawn, see [HGNC:8568](/data/gene-symbol-report/#!/hgnc_id/HGNC:8568)	
HGNC:8568	FURIN	furin, paired basic amino acid cleaving enzyme	ENSG00000140564
HGNC:4010	FUS	FUS RNA binding protein	ENSG00000089280
HGNC:4011	FUSE	polykaryocytosis promoter	
HGNC:16723	FUSIP2	symbol withdrawn, see [HGNC:16713](/data/gene-symbol-report/#!/hgnc_id/HGNC:16713)	
HGNC:4012	FUT1	fucosyltransferase 1 (H blood group)	ENSG00000174951
HGNC:4013	FUT2	fucosyltransferase 2	ENSG00000176920
HGNC:4014	FUT3	fucosyltransferase 3 (Lewis blood group)	ENSG00000171124
HGNC:4015	FUT4	fucosyltransferase 4	ENSG00000196371
HGNC:4016	FUT5	fucosyltransferase 5	ENSG00000130383
HGNC:4017	FUT6	fucosyltransferase 6	ENSG00000156413
HGNC:4018	FUT7	fucosyltransferase 7	ENSG00000180549
HGNC:4019	FUT8	fucosyltransferase 8	ENSG00000033170
HGNC:44294	FUT8-AS1	FUT8 antisense RNA 1	ENSG00000276116
HGNC:4020	FUT9	fucosyltransferase 9	ENSG00000172461
HGNC:19234	FUT10	fucosyltransferase 10	ENSG00000172728
HGNC:19233	FUT11	fucosyltransferase 11	ENSG00000196968
HGNC:26219	FUZ	fuzzy planar cell polarity protein	ENSG00000010361
HGNC:3951	FXN	frataxin	ENSG00000165060
HGNC:20012	FXNP1	frataxin pseudogene 1	ENSG00000258421
HGNC:51607	FXNP2	frataxin pseudogene 2	ENSG00000177736
HGNC:4023	FXR1	FMR1 autosomal homolog 1	ENSG00000114416
HGNC:4024	FXR2	FMR1 autosomal homolog 2	ENSG00000129245
HGNC:4025	FXYD1	FXYD domain containing ion transport regulator 1	ENSG00000266964
HGNC:4026	FXYD2	FXYD domain containing ion transport regulator 2	ENSG00000137731
HGNC:4027	FXYD3	FXYD domain containing ion transport regulator 3	ENSG00000089356
HGNC:4028	FXYD4	FXYD domain containing ion transport regulator 4	ENSG00000150201
HGNC:4029	FXYD5	FXYD domain containing ion transport regulator 5	ENSG00000089327
HGNC:4030	FXYD6	FXYD domain containing ion transport regulator 6	ENSG00000137726
HGNC:39978	FXYD6-FXYD2	FXYD6-FXYD2 readthrough	ENSG00000255245
HGNC:4031	FXYD6P1	FXYD domain containing ion transport regulator 6 pseudogene 1	ENSG00000270762
HGNC:4032	FXYD6P2	FXYD domain containing ion transport regulator 6 pseudogene 2	ENSG00000235964
HGNC:31124	FXYD6P3	FXYD domain containing ion transport regulator 6 pseudogene 3	ENSG00000182707
HGNC:4034	FXYD7	FXYD domain containing ion transport regulator 7	ENSG00000221946
HGNC:4036	FYB1	FYN binding protein 1	ENSG00000082074
HGNC:27295	FYB2	FYN binding protein 2	ENSG00000187889
HGNC:14673	FYCO1	FYVE and coiled-coil domain autophagy adaptor 1	ENSG00000163820
HGNC:4037	FYN	FYN proto-oncogene, Src family tyrosine kinase	ENSG00000010810
HGNC:25407	FYTTD1	forty-two-three domain containing 1	ENSG00000122068
HGNC:38035	FYTTD1P1	forty-two-three domain containing 1 pseudogene 1	ENSG00000234502
HGNC:4038	FZD1	frizzled class receptor 1	ENSG00000157240
HGNC:4040	FZD2	frizzled class receptor 2	ENSG00000180340
HGNC:4041	FZD3	frizzled class receptor 3	ENSG00000104290
HGNC:4042	FZD4	frizzled class receptor 4	ENSG00000174804
HGNC:54219	FZD4-DT	FZD4 divergent transcript	ENSG00000246523
HGNC:4043	FZD5	frizzled class receptor 5	ENSG00000163251
HGNC:4044	FZD6	frizzled class receptor 6	ENSG00000164930
HGNC:4045	FZD7	frizzled class receptor 7	ENSG00000155760
HGNC:4046	FZD8	frizzled class receptor 8	ENSG00000177283
HGNC:4047	FZD9	frizzled class receptor 9	ENSG00000188763
HGNC:4039	FZD10	frizzled class receptor 10	ENSG00000111432
HGNC:48632	FZD10-AS1	FZD10 antisense divergent transcript	ENSG00000250208
HGNC:24824	FZR1	fizzy and cell division cycle 20 related 1	ENSG00000105325
HGNC:4052	G1P1	symbol withdrawn, see [HGNC:225](/data/gene-symbol-report/#!/hgnc_id/HGNC:225)	
HGNC:20338	G2E3	G2/M-phase specific E3 ubiquitin protein ligase	ENSG00000092140
HGNC:53463	G2E3-AS1	G2E3 antisense RNA 1	ENSG00000257636
HGNC:30292	G3BP1	G3BP stress granule assembly factor 1	ENSG00000145907
HGNC:54590	G3BP1P1	G3BP1 pseudogene 1	ENSG00000235651
HGNC:30291	G3BP2	G3BP stress granule assembly factor 2	ENSG00000138757
HGNC:4056	G6PC1	glucose-6-phosphatase catalytic subunit 1	ENSG00000131482
HGNC:28906	G6PC2	glucose-6-phosphatase catalytic subunit 2	ENSG00000152254
HGNC:24861	G6PC3	glucose-6-phosphatase catalytic subunit 3	ENSG00000141349
HGNC:4057	G6PD	glucose-6-phosphate dehydrogenase	ENSG00000160211
HGNC:4058	G6PDL	glucose-6-phosphate dehydrogenase-like	
HGNC:4059	G6PR	glucose-6-phosphatase regulator	
HGNC:4060	G6PT	symbol withdrawn, see [HGNC:4056](/data/gene-symbol-report/#!/hgnc_id/HGNC:4056)	
HGNC:4062	G6PT2	symbol withdrawn, see [HGNC:4061](/data/gene-symbol-report/#!/hgnc_id/HGNC:4061)	
HGNC:4063	G6PT3	symbol withdrawn, see [HGNC:4061](/data/gene-symbol-report/#!/hgnc_id/HGNC:4061)	
HGNC:4064	G7P1	kinase-like protein	
HGNC:4048	G10P1	symbol withdrawn, see [HGNC:5407](/data/gene-symbol-report/#!/hgnc_id/HGNC:5407)	
HGNC:4049	G10P2	symbol withdrawn, see [HGNC:5409](/data/gene-symbol-report/#!/hgnc_id/HGNC:5409)	
HGNC:4050	G13P1	symbol withdrawn, see [HGNC:5408](/data/gene-symbol-report/#!/hgnc_id/HGNC:5408)	
HGNC:4051	G17P1	symbol withdrawn, see [HGNC:2746](/data/gene-symbol-report/#!/hgnc_id/HGNC:2746)	
HGNC:4065	GAA	alpha glucosidase	ENSG00000171298
HGNC:4066	GAB1	GRB2 associated binding protein 1	ENSG00000109458
HGNC:14458	GAB2	GRB2 associated binding protein 2	ENSG00000033327
HGNC:17515	GAB3	GRB2 associated binding protein 3	ENSG00000160219
HGNC:18325	GAB4	GRB2 associated binding protein family member 4	ENSG00000215568
HGNC:4067	GABARAP	GABA type A receptor-associated protein	ENSG00000170296
HGNC:4068	GABARAPL1	GABA type A receptor associated protein like 1	ENSG00000139112
HGNC:54822	GABARAPL1-AS1	GABARAPL1 antisense RNA 1	ENSG00000255958
HGNC:13291	GABARAPL2	GABA type A receptor associated protein like 2	ENSG00000034713
HGNC:4069	GABARAPL3	GABA type A receptor associated protein like 3 pseudogene	ENSG00000238244
HGNC:4070	GABBR1	gamma-aminobutyric acid type B receptor subunit 1	ENSG00000204681
HGNC:4507	GABBR2	gamma-aminobutyric acid type B receptor subunit 2	ENSG00000136928
HGNC:4071	GABPA	GA binding protein transcription factor subunit alpha	ENSG00000154727
HGNC:4072	GABPAP	GABPA pseudogene	ENSG00000235720
HGNC:4074	GABPB1	GA binding protein transcription factor subunit beta 1	ENSG00000104064
HGNC:44157	GABPB1-AS1	GABPB1 antisense RNA 1	ENSG00000244879
HGNC:25469	GABPB1-IT1	GABPB1 intronic transcript	ENSG00000285410
HGNC:28441	GABPB2	GA binding protein transcription factor subunit beta 2	ENSG00000143458
HGNC:4075	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1	ENSG00000022355
HGNC:4076	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2	ENSG00000151834
HGNC:4077	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3	ENSG00000011677
HGNC:4078	GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4	ENSG00000109158
HGNC:4079	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5	ENSG00000186297
HGNC:4080	GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6	ENSG00000145863
HGNC:4081	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1	ENSG00000163288
HGNC:4082	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2	ENSG00000145864
HGNC:4083	GABRB3	gamma-aminobutyric acid type A receptor subunit beta3	ENSG00000166206
HGNC:4084	GABRD	gamma-aminobutyric acid type A receptor subunit delta	ENSG00000187730
HGNC:4085	GABRE	gamma-aminobutyric acid type A receptor subunit epsilon	ENSG00000102287
HGNC:4086	GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1	ENSG00000163285
HGNC:4087	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2	ENSG00000113327
HGNC:4088	GABRG3	gamma-aminobutyric acid type A receptor subunit gamma3	ENSG00000182256
HGNC:40249	GABRG3-AS1	GABRG3 antisense RNA 1	ENSG00000228740
HGNC:4089	GABRP	gamma-aminobutyric acid type A receptor subunit pi	ENSG00000094755
HGNC:14454	GABRQ	gamma-aminobutyric acid type A receptor subunit theta	ENSG00000268089
HGNC:4090	GABRR1	gamma-aminobutyric acid type A receptor subunit rho1	ENSG00000146276
HGNC:4091	GABRR2	gamma-aminobutyric acid type A receptor subunit rho2	ENSG00000111886
HGNC:17969	GABRR3	gamma-aminobutyric acid type A receptor subunit rho3	ENSG00000183185
HGNC:48336	GACAT1	gastric cancer associated transcript 1	ENSG00000232991
HGNC:50516	GACAT2	gastric cancer associated transcript 2	ENSG00000265962
HGNC:50847	GACAT3	gastric cancer associated transcript 3	ENSG00000236289
HGNC:4092	GAD1	glutamate decarboxylase 1	ENSG00000128683
HGNC:4093	GAD2	glutamate decarboxylase 2	ENSG00000136750
HGNC:4094	GAD3	glutamate decarboxylase 3	
HGNC:55684	GAD3P	glutamate decarboxylase family member 3, pseudogene	
HGNC:4095	GADD45A	growth arrest and DNA damage inducible alpha	ENSG00000116717
HGNC:2725	GADD45AP1	growth arrest and DNA damage inducible alpha pseudogene 1	
HGNC:4096	GADD45B	growth arrest and DNA damage inducible beta	ENSG00000099860
HGNC:4097	GADD45G	growth arrest and DNA damage inducible gamma	ENSG00000130222
HGNC:29996	GADD45GIP1	GADD45G interacting protein 1	ENSG00000179271
HGNC:27949	GADL1	glutamate decarboxylase like 1	ENSG00000144644
HGNC:4098	GAGE1	G antigen 1	ENSG00000205777
HGNC:4099	GAGE2A	G antigen 2A	ENSG00000189064
HGNC:31957	GAGE2B	G antigen 2B	
HGNC:31958	GAGE2C	G antigen 2C	
HGNC:31959	GAGE2D	G antigen 2D	
HGNC:31960	GAGE2E	G antigen 2E	ENSG00000275113
HGNC:4100	GAGE3	G antigen 3	
HGNC:4101	GAGE4	G antigen 4	
HGNC:4102	GAGE5	G antigen 5	
HGNC:4103	GAGE6	G antigen 6	
HGNC:4104	GAGE7	G antigen 7	
HGNC:4106	GAGE8	G antigen 8	
HGNC:30968	GAGE10	G antigen 10	ENSG00000215274
HGNC:26779	GAGE12B	G antigen 12B	ENSG00000236737
HGNC:28402	GAGE12C	G antigen 12C	ENSG00000237671
HGNC:31904	GAGE12D	G antigen 12D	ENSG00000227488
HGNC:31905	GAGE12E	G antigen 12E	ENSG00000216649
HGNC:31906	GAGE12F	G antigen 12F	ENSG00000236362
HGNC:31907	GAGE12G	G antigen 12G	ENSG00000215269
HGNC:31908	GAGE12H	G antigen 12H	ENSG00000224902
HGNC:4105	GAGE12I	G antigen 12I	
HGNC:17778	GAGE12J	G antigen 12J	ENSG00000224659
HGNC:29081	GAGE13	G antigen 13	ENSG00000274274
HGNC:4109	GAGEC2	symbol withdrawn, see [HGNC:31804](/data/gene-symbol-report/#!/hgnc_id/HGNC:31804)	
HGNC:13292	GAGED4	symbol withdrawn, see [HGNC:14618](/data/gene-symbol-report/#!/hgnc_id/HGNC:14618)	
HGNC:4113	GAK	cyclin G associated kinase	ENSG00000178950
HGNC:4114	GAL	galanin and GMAP prepropeptide	ENSG00000069482
HGNC:24240	GAL3ST1	galactose-3-O-sulfotransferase 1	ENSG00000128242
HGNC:24869	GAL3ST2	galactose-3-O-sulfotransferase 2	ENSG00000154252
HGNC:24144	GAL3ST3	galactose-3-O-sulfotransferase 3	ENSG00000175229
HGNC:24145	GAL3ST4	galactose-3-O-sulfotransferase 4	ENSG00000197093
HGNC:4115	GALC	galactosylceramidase	ENSG00000054983
HGNC:4116	GALE	UDP-galactose-4-epimerase	ENSG00000117308
HGNC:4118	GALK1	galactokinase 1	ENSG00000108479
HGNC:4119	GALK2	galactokinase 2	ENSG00000156958
HGNC:24063	GALM	galactose mutarotase	ENSG00000143891
HGNC:4120	GALN	symbol withdrawn, see [HGNC:4114](/data/gene-symbol-report/#!/hgnc_id/HGNC:4114)	
HGNC:4121	GALNR	symbol withdrawn, see [HGNC:4132](/data/gene-symbol-report/#!/hgnc_id/HGNC:4132)	
HGNC:4122	GALNS	galactosamine (N-acetyl)-6-sulfatase	ENSG00000141012
HGNC:4123	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	ENSG00000141429
HGNC:4124	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	ENSG00000143641
HGNC:4125	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	ENSG00000115339
HGNC:4126	GALNT4	polypeptide N-acetylgalactosaminyltransferase 4	ENSG00000257594
HGNC:4127	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	ENSG00000136542
HGNC:4128	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	ENSG00000139629
HGNC:4129	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	ENSG00000109586
HGNC:55604	GALNT7-DT	GALNT7 divergent transcript	
HGNC:4130	GALNT8	polypeptide N-acetylgalactosaminyltransferase 8	ENSG00000130035
HGNC:4131	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9	ENSG00000182870
HGNC:19873	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	ENSG00000164574
HGNC:19875	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	ENSG00000178234
HGNC:19877	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12	ENSG00000119514
HGNC:23242	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13	ENSG00000144278
HGNC:22946	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	ENSG00000158089
HGNC:21531	GALNT15	polypeptide N-acetylgalactosaminyltransferase 15	ENSG00000131386
HGNC:23233	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	ENSG00000100626
HGNC:55435	GALNT16-AS1	GALNT16 and EXD2 antisense RNA 1	
HGNC:16347	GALNT17	polypeptide N-acetylgalactosaminyltransferase 17	ENSG00000185274
HGNC:30488	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	ENSG00000110328
HGNC:21725	GALNTL5	polypeptide N-acetylgalactosaminyltransferase like 5	ENSG00000106648
HGNC:33844	GALNTL6	polypeptide N-acetylgalactosaminyltransferase like 6	ENSG00000174473
HGNC:54079	GALNTL6-AS1	GALNTL6 antisense RNA 1	
HGNC:24840	GALP	galanin like peptide	ENSG00000197487
HGNC:4132	GALR1	galanin receptor 1	ENSG00000166573
HGNC:4133	GALR2	galanin receptor 2	ENSG00000182687
HGNC:4134	GALR3	galanin receptor 3	ENSG00000128310
HGNC:4135	GALT	galactose-1-phosphate uridylyltransferase	ENSG00000213930
HGNC:4136	GAMT	guanidinoacetate N-methyltransferase	ENSG00000130005
HGNC:33982	GAMTP1	guanidinoacetate N-methyltransferase pseudogene 1	
HGNC:37697	GAMTP2	guanidinoacetate N-methyltransferase pseudogene 2	ENSG00000231910
HGNC:4137	GAN	gigaxonin	ENSG00000261609
HGNC:4138	GANAB	glucosidase II alpha subunit	ENSG00000089597
HGNC:4139	GANC	glucosidase alpha, neutral C	ENSG00000214013
HGNC:4140	GAP43	growth associated protein 43	ENSG00000172020
HGNC:4141	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	ENSG00000111640
HGNC:55492	GAPDH-DT	GAPDH divergent transcript	
HGNC:4151	GAPDHL2	symbol withdrawn, see [HGNC:4159](/data/gene-symbol-report/#!/hgnc_id/HGNC:4159)	
HGNC:33506	GAPDHL5	glyceraldehyde-3-phosphate dehydrogenase-like 5, pseudogene	
HGNC:4159	GAPDHP1	glyceraldehyde-3-phosphate dehydrogenase pseudogene 1	ENSG00000228232
HGNC:16577	GAPDHP2	glyceraldehyde-3-phosphate dehydrogenase pseudogene 2	ENSG00000236811
HGNC:4160	GAPDHP14	glyceraldehyde-3-phosphate dehydrogenase pseudogene 14	ENSG00000236056
HGNC:13950	GAPDHP15	glyceraldehyde-3-phosphate dehydrogenase pseudogene 15	ENSG00000214563
HGNC:23768	GAPDHP16	glyceraldehyde-3-phosphate dehydrogenase pseudogene 16	ENSG00000225502
HGNC:37765	GAPDHP17	glyceraldehyde-3-phosphate dehydrogenase pseudogene 17	ENSG00000229551
HGNC:23948	GAPDHP18	symbol withdrawn, see [HGNC:37765](/data/gene-symbol-report/#!/hgnc_id/HGNC:37765)	
HGNC:23947	GAPDHP19	glyceraldehyde 3 phosphate dehydrogenase pseudogene 19	ENSG00000234529
HGNC:37772	GAPDHP20	glyceraldehyde 3 phosphate dehydrogenase pseudogene 20	ENSG00000224333
HGNC:37773	GAPDHP21	glyceraldehyde 3 phosphate dehydrogenase pseudogene 21	ENSG00000236993
HGNC:37774	GAPDHP22	glyceraldehyde 3 phosphate dehydrogenase pseudogene 22	ENSG00000234005
HGNC:37775	GAPDHP23	glyceraldehyde 3 phosphate dehydrogenase pseudogene 23	ENSG00000235595
HGNC:37776	GAPDHP24	glyceraldehyde 3 phosphate dehydrogenase pseudogene 24	ENSG00000185221
HGNC:37777	GAPDHP25	glyceraldehyde 3 phosphate dehydrogenase pseudogene 25	ENSG00000213594
HGNC:37778	GAPDHP26	glyceraldehyde 3 phosphate dehydrogenase pseudogene 26	ENSG00000229541
HGNC:37779	GAPDHP27	glyceraldehyde 3 phosphate dehydrogenase pseudogene 27	ENSG00000239873
HGNC:37780	GAPDHP28	glyceraldehyde 3 phosphate dehydrogenase pseudogene 28	ENSG00000213449
HGNC:37781	GAPDHP29	glyceraldehyde 3 phosphate dehydrogenase pseudogene 29	ENSG00000178596
HGNC:37782	GAPDHP30	glyceraldehyde 3 phosphate dehydrogenase pseudogene 30	ENSG00000183663
HGNC:37783	GAPDHP31	glyceraldehyde 3 phosphate dehydrogenase pseudogene 31	ENSG00000235868
